0,15,none
1,26,none
2,30,0
3,17,1
4,19,none
5,9,none
6,18,none
7,27,1:6:5
8,24,1
9,13,5:4:6
10,5,none
11,14,2
12,5,4
13,19,10:5
14,19,5:12
15,8,14
16,21,11:15:14
17,19,7:11
18,13,12
19,10,12
20,5,none
21,30,none
22,22,9
23,18,none
24,16,2:23
25,23,17:13:21
26,5,22
27,23,none
28,29,25
29,25,none
30,9,7:21
31,30,15
32,14,15
33,20,none
34,17,14
35,15,none
36,8,3
37,26,35:8
38,25,none
39,18,22
40,29,7:39
41,11,none
42,13,6
43,14,2
44,17,42:40:34
45,23,3
46,27,15
47,26,none
48,15,23:7
49,26,34:19
50,17,none
51,15,8:25
52,30,28
53,30,36:15
54,7,none
55,28,45:5
56,13,none
57,8,none
58,10,55
59,6,24:4
60,10,9
61,5,none
62,16,none
63,6,none
64,13,none
65,27,38
66,15,46:12
67,20,17
68,20,none
69,12,42:64:49
70,12,9:21:55
71,21,11
72,5,10:6:17
73,25,64:12
74,10,38
75,18,none
76,20,21
77,6,53
78,12,none
79,13,62
80,20,35
81,13,34
82,17,16
83,19,none
84,30,72
85,5,77
86,28,none
87,14,none
88,7,none
89,24,none
90,30,80:43
91,17,none
92,21,82
93,27,18
94,28,74
95,7,none
96,28,21:23
97,21,49
98,23,2
99,15,32
